strategy,request_id,time_seconds,osnr_dB,ber,log10_ber,min_sun_angle_deg,max_link_distance_km,load
QoT-GLR,2,2400.0,18.406919028657768,1.4923640613047487e-14,-13.826125218063911,51.91617670649857,3899.74205179907,Low
QoT-GLR,3,2400.0,18.054598143233076,1.4722039397300232e-13,-12.832032024397668,54.87030642788646,3899.7420517990745,Low
QoT-GLR,4,2400.0,16.092972059140486,2.9106965151208848e-09,-8.536003074080009,31.256382583467328,3899.742051799074,Low
QoT-GLR,5,2400.0,20.239353614578235,3.182945833381354e-21,-20.497170752036787,40.0724777088197,3899.7420517990786,Low
QoT-GLR,6,2400.0,15.15174895404477,8.758549375377045e-08,-7.0575678173978496,31.256382583467328,3899.742051799074,Low
QoT-GLR,7,2400.0,16.026197479810016,3.797144362177051e-09,-8.420542891270772,45.05435042131392,3899.742051799073,Low
QoT-GLR,8,2400.0,17.883131778450263,4.20564474267097e-13,-12.376167415628268,66.28995606332299,3899.7420517990786,Low
QoT-GLR,9,2400.0,14.34931959977646,9.539501460033495e-07,-6.020474321188349,40.072477708819726,3899.742051799069,Low
QoT-GLR,10,2400.0,14.772384056054083,2.856505869600614e-07,-6.544164879206254,40.44724939083521,3899.742051799082,Low
QoT-GLR,1,2700.0,17.208356040512932,1.801709051159632e-11,-10.74431533970421,62.42923849924368,3899.74205179907,Low
QoT-GLR,2,2700.0,18.110891317742194,1.0337316345601426e-13,-12.985592193115371,63.754769309826365,3899.742051799074,Low
QoT-GLR,3,2700.0,18.521589778529354,6.8050668481364066e-15,-14.167167604239607,61.51138889816433,3899.7420517990695,Low
QoT-GLR,4,2700.0,16.08573746504557,2.9963322633383503e-09,-8.523410029379324,31.130025261061437,3899.742051799075,Low
QoT-GLR,5,2700.0,20.477980430028097,2.577117523189589e-22,-21.588865776051755,34.667475088820034,3899.7420517990668,Low
